"Date","Predicted_Infected","Predicted_recovered","Actual_Infected","Actual_Recoverd","Actual_Exposed","Predicted_Exposed"
2020-04-01,144,6,152,6,334,334
2020-04-02,198.205873697438,17.4628181431126,152,6,353,302.718735943014
2020-04-03,244.226471491139,32.2464419317375,219,8,339,286.263957653432
2020-04-04,285.137162676665,49.9134397275683,386,8,267,280.685401787727
2020-04-05,323.153434863769,70.2008881129227,445,15,259,283.241683785476
2020-04-06,359.889331366602,92.9724266492186,503,18,387,292.045972115937
2020-04-07,396.541421686427,118.184484378848,523,19,528,305.814470780224
2020-04-08,434.017483176673,145.863053101417,576,21,557,323.691282873904
2020-04-09,473.02762812939,176.087659349633,669,21,813,345.12522525373
2020-04-10,514.149228334054,208.980392799017,720,25,818,369.782957886132
2020-04-11,557.872308828939,244.698738700953,903,25,641,397.489251334612
2020-04-12,604.632502836066,283.43087980805,1069,25,526,428.184631323122
2020-04-13,654.83457965435,325.392907008976,1154,27,490,461.896266936565
2020-04-14,708.869740199033,370.827344381696,1510,30,327,498.717719074231
2020-04-15,767.128178038274,420.002718793553,1561,30,385,538.795511396522
2020-04-16,830.008863030821,473.213812231019,1578,40,97,582.3198428803
2020-04-17,897.927093651706,530.782504999333,1640,51,0,629.518711977932
2020-04-18,971.320595049439,593.059082012759,1707,72,0,680.654419485383
2020-04-19,1050.65471835557,660.423911016004,1893,72,0,736.02171201019
2020-04-20,1136.42713436452,733.289429287857,2003,72,0,795.947045726122
2020-04-21,1229.17208565929,812.102449692452,2081,431,99,860.788927626767
2020-04-22,1329.46456223767,897.346752505919,2156,611,489,930.938901488593
2020-04-23,1437.92446494139,989.545936396661,2248,724,701,1006.82306079558
2020-04-24,1555.22071278717,1089.26649035828,2376,808,664,1088.90405579093
2020-04-25,1682.07573914009,1197.12125936851,2514,857,687,1177.68349305328
2020-04-26,1819.27014629666,1313.77317713461,2625,869,660,1273.7047052214
2020-04-27,1967.64748190275,1439.93920431646,2918,877,523,1377.55580416051
2020-04-28,2128.11973697953,1576.39488844874,3108,877,625,1489.87324420707
2020-04-29,2301.67296629209,1723.97908534987,3314,1078,941,1611.34557923816
2020-04-30,2489.373150492,1883.59892578518,3439,1092,1112,1742.71745871953
2020-05-01,2692.37284461742,2056.23544082229,3515,1094,1210,1884.79413900272
2020-05-02,2911.91826391905,2242.94959687973,3738,1167,1415,2038.44636195021
2020-05-03,3149.35686119572,2444.88876673299,4122,1256,1181,2204.61559682983
2020-05-04,3406.14556246094,2663.29376055944,4549,1362,1107,2384.31972218413
2020-05-05,3683.85963665606,2899.5064173099,4898,1431,NA,2578.65917033683
2020-05-06,3984.20226081678,3154.97779776605,5104,1468,NA,2788.82355162527
2020-05-07,4309.01486773058,3431.27705310481,5532,1542,NA,3016.09881335591
2020-05-08,4660.28831673683,3730.10101418787,5980,1931,NA,3261.8749778976
2020-05-09,5040.17495427683,4053.284549816,6318,2020,NA,3527.65448344557
2020-05-10,5451.00163570647,4402.81176163738,NA,NA,NA,3815.06118334506
2020-05-11,5895.28378312539,4780.82808441947,NA,NA,NA,4125.85005771611
2020-05-12,6375.74054412484,5189.6533449079,NA,NA,NA,4461.91766929788
2020-05-13,6895.31116428129,5631.79588351978,NA,NA,NA,4825.31344517189
2020-05-14,7457.17266106914,6109.96781762005,NA,NA,NA,5218.25184028359
2020-05-15,8064.75887865804,6627.10151831974,NA,NA,NA,5643.12543135753
2020-05-16,8721.78101923311,7186.36738929317,NA,NA,NA,6102.51900430674
2020-05-17,9432.24984304429,7791.19312110418,NA,NA,NA,6599.22475943037
2020-05-18,10200.4995642518,8445.28445045755,NA,NA,NA,7136.25864879523
2020-05-19,11031.21356493,9152.64754005182,NA,NA,NA,7716.87792281589
