#,State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy
35,Lakshadweep,"64,473",6.30%,30,"2,149",946,91.85
34,Daman and Diu,"2,43,247",53.76%,111,"2,191",618,87.1
33,Dadra and Nagar Haveli,"3,43,709",55.88%,491,700,774,76.24
32,Andaman and Nicobar Islands,"3,80,581",6.86%,"8,249",46,876,86.63
31,Sikkim,"6,10,577",12.89%,"7,096",86,890,81.42
30,Chandigarh,"10,55,450",17.19%,114,"9,258",818,86.05
29,Mizoram,"10,97,206",23.48%,"21,081",52,976,91.33
28,Puducherry,"12,47,953",28.08%,490,"2,547",1037,85.85
27,Arunachal Pradesh,"13,83,727",26.03%,"83,743",17,938,65.38
26,Goa,"14,58,545",8.23%,"3,702",394,973,88.7
25,Nagaland,"19,78,502",-0.58%,"16,579",119,931,79.55
24,Manipur,"28,55,794",24.50%,"22,327",128,985,76.94
23,Meghalaya,"29,66,889",27.95%,"22,429",132,989,74.43
22,Tripura,"36,73,917",14.84%,"10,486",350,960,87.22
21,Himachal Pradesh,"68,64,602",12.94%,"55,673",123,972,82.8
20,Uttarakhand,"1,00,86,292",18.81%,"53,483",189,963,78.82
19,Jammu and Kashmir,"1,25,41,302",23.64%,"2,22,236",56,889,67.16
18,Delhi,"1,67,87,941",21.21%,"1,483","11,320",868,86.21
17,Haryana,"2,53,51,462",19.90%,"44,212",573,879,75.55
16,Chhattisgarh,"2,55,45,198",22.61%,"1,35,192",189,991,70.28
15,Punjab,"2,77,43,338",13.89%,"50,362",551,895,75.84
14,Assam,"3,12,05,576",17.07%,"78,438",398,958,72.19
13,Jharkhand,"3,29,88,134",22.42%,"79,716",414,948,66.41
12,Kerala,"3,34,06,061",4.91%,"38,852",860,1084,94
11,Orissa,"4,19,74,218",14.05%,"1,55,707",270,979,72.87
10,Gujarat,"6,04,39,692",19.28%,"1,96,244",308,919,78.03
9,Karnataka,"6,10,95,297",15.60%,"1,91,791",319,973,75.36
8,Rajasthan,"6,85,48,437",21.31%,"3,42,239",200,928,66.11
7,Tamil Nadu,"7,21,47,030",15.61%,"1,30,060",555,996,80.09
6,Madhya Pradesh,"7,26,26,809",20.35%,"3,08,252",236,931,69.32
5,Andhra Pradesh,"4,97,00,000",10.98%,"2,75,045",308,993,67.02
4,West Bengal,"9,12,76,115",13.84%,"88,752","1,028",950,76.26
3,Bihar,"10,40,99,452",25.42%,"94,163","1,106",918,61.8
2,Maharashtra,"11,23,74,333",15.99%,"3,07,713",365,929,82.34
1,Uttar Pradesh,"19,98,12,341",20.23%,"2,40,928",829,912,67.68
,Telengana,"3,52,00,000 ",,,,,
,Ladakh,"2,74,289",,,,,
,India,1339200000,,,,,
